method,run_id,actual_epsilon,eval_loss,perplexity,run_seconds,train_only_seconds,examples_per_second,pytorch_peak_allocated_bytes,external_peak_vram_mib
hooks,task10-hooks-e2-full342-20260819b,1.9998002058381235,1.5703986835479737,4.808564907386637,1488.9457994205877,1470.037656256929,29.387002309857582,27369138688,31271
functorch,task10-functorch-e2-full342-20260819a,1.9998002058381235,1.5713594198226928,4.81318689002018,2124.6380321402103,2106.0207300027832,20.51261860083538,27369138688,31271
ew,task10-ew-e2-full342-20260819a,1.9998002058381235,1.5698220992088319,4.805793163316191,1310.7005986003205,1290.1501331962645,33.48447509203813,33252861952,35287
ghost,task10-ghost-e2-full342-20260819a,1.9998002058381235,1.5709420013427735,4.8111781961271225,2223.7828505877405,2205.0103290285915,19.591744959776033,27369362944,31117
